fullname,surname,party,constituency,region,twitter_username,twitter_user_id,twitter_name,user_id
Paul Davies,Davies,Conservative,Preseli Pembrokeshire,Mid & West Wales,NA,NA,NA,#N/A
Jack Sargeant,Sargeant,Labour,Alyn & Deeside,North Wales,JackSargeantAM,9.49E+17,Jack Sargeant AM,x948796272957325312
Mandy Jones,Jones,UKIP,NA,North Wales,MandyJonesAM,9.46E+17,Mandy Jones AM,x946028862852431873
David Melding,Melding,Conservative,NA,South Wales Central,DavidMeldingAM,8.67E+17,David Melding,x866941386595209216
Lynne Neagle,Neagle,Labour,Torfaen,South Wales East,lynne_neagle,7.99E+17,Lynne Neagle #FBPE,x798544306365755392
Gareth Bennett,Bennett,UKIP,NA,South Wales Central,GarethBennettAM,7.30E+17,Gareth Bennett AC/AM,x729991259616587776
David Rowlands,Rowlands,UKIP,NA,South Wales East,DavidRowlandsAM,3869773815,David Rowlands AC/AM,x3869773815
Hefin David,David,Labour,Caerphilly,South Wales East,hef4caerphilly,3795270447,Hefin David AC/AM,x3795270447
Caroline Jones,Jones,UKIP,NA,South Wales West,carolineUKIP,3727330336,Caroline Jones AC/AM,x3727330336
Dai Lloyd,Lloyd,Plaid Cymru,NA,South Wales West,DaiLloydAM,3308117601,Dai Lloyd,x3308117601
Michelle Brown,Brown,UKIP,NA,North Wales,MishBrownAM,2956911832,Michelle Brown AM,x2956911832
Carwyn Jones,Jones,Labour,Bridgend,South Wales West,AMCarwyn,2476761393,Carwyn Jones AM/AC,x2476761393
Joyce Watson,Watson,Labour,NA,Mid & West Wales,JoyceWatsonam,2467530391,Joyce Watson AM,x2467530391
Neil Hamilton,Hamilton,UKIP,NA,Mid & West Wales,NeilUKIP,1539233137,Neil Hamilton AC/AM,x1539233137
John Griffiths,Griffiths,Labour,Newport East,South Wales East,JGriffithsLab,1371848690,John Griffiths AM,x1371848690
Vikki Howells,Howells,Labour,Cynon Valley,South Wales Central,VikkiHowells,838551494,Vikki Howells AM,x838551494
Ann Jones,Jones,Labour,Vale of Clwyd,North Wales,ann_jonesam,486596730,Ann Jones AM,x486596730
David Rees,Rees,Labour,Aberavon,South Wales West,DavidReesAM,461982001,David Rees,x461982001
Neil McEvoy,McEvoy,Independent,NA,South Wales Central,neiljmcevoy,389121502,Neil McEvoy AM,x389121502
Ken Skates,Skates,Labour,Clwyd South,North Wales,KenSkatesAM,377424210,Ken Skates AM,x377424210
Dafydd Elis-Thomas,Elis-Thomas,Independent,Dwyfor Meirionnydd,Mid & West Wales,ElisThomasD,357381026,Dafydd Elis-Thomas,x357381026
Mick Antoniw,Antoniw,Labour,Pontypridd,South Wales Central,MickAntoniw1,342028286,MickAntoniw AM,x342028286
Jayne Bryant,Bryant,Labour,Newport West,South Wales East,JBryantWales,342026335,Jayne Bryant AM,x342026335
Mike Hedges,Hedges,Labour,Swansea East,South Wales West,MikeHedgesAM,333931934,Mike Hedges,x333931934
Julie James,James,Labour,Swansea West,South Wales West,JulieJamesAM,327397366,Julie James AM,x327397366
Rebecca Evans,Evans,Labour,Gower,South Wales West,RebeccaEvansAM,294756257,Rebecca Evans AM,x294756257
Eluned Morgan,Morgan,Labour,NA,Mid & West Wales,Eluned_Morgan,277927587,Eluned Morgan,x277927587
Jane Hutt,Hutt,Labour,Vale of Glamorgan,South Wales Central,JaneHutt,236909222,JaneHutt AM,x236909222
Rhianon Passmore,Passmore,Labour,Islwyn,South Wales East,rhi4islwyn,235773325,Rhianon Passmore,x235773325
Elin Jones,Jones,Plaid Cymru,Ceredigion,Mid & West Wales,ElinCeredigion,224684497,Elin Jones,x224684497
Vaughan Gething,Gething,Labour,Cardiff South & Penarth,South Wales Central,vaughangething,211864158,Vaughan Gething AM,x211864158
Mark Drakeford,Drakeford,Labour,Cardiff West,South Wales Central,MarkDrakeford,207667494,Mark Drakeford AM,x207667494
Mark Isherwood,Isherwood,Conservative,NA,North Wales,MarkIsherwoodAM,206116818,Mark Isherwood AM,x206116818
Angela Burns,Burns,Conservative,Carmarthen West & South Pembrokeshire,Mid & West Wales,AngelaBurnsAM,202240843,Angela Burns,x202240843
Mohammad Asghar,Asghar,Conservative,NA,South Wales East,MohammadAsghar,202193356,Mohammad Asghar AM,x202193356
Lesley Griffiths,Griffiths,Labour,Wrexham,North Wales,lesley4wrexham,201258574,Lesley Griffiths,x201258574
Nick Ramsay,Ramsay,Conservative,Monmouth,South Wales East,NickRamsayAM,196968085,Nick Ramsay,x196968085
Andrew RT Davies,Davies,Conservative,NA,South Wales Central,AndrewRTDavies,181936890,Andrew RT Davies,x181936890
Simon Thomas,Thomas,Plaid Cymru,NA,Mid & West Wales,SimonThomasAC,167137006,Simon Thomas,x167137006
Huw Irranca-Davies,Irranca-Davies,Labour,Ogmore,South Wales West,huw4ogmore,156992643,Huw Irranca-DaviesAM,x156992643
Russell George,George,Conservative,Montgomeryshire,Mid & West Wales,russ_george,146958275,Russell George AM,x146958275
Rhun ap Iorwerth,ap Iorwerth,Plaid Cymru,Ynys Mon,North Wales,RhunapIorwerth,126276020,Rhun ap Iorwerth,x126276020
Julie Morgan,Morgan,Labour,Cardiff North,South Wales Central,JulieMorganLAB,102976802,Julie Morgan,x102976802
Sian Gwenllian,Gwenllian,Plaid Cymru,Arfon,North Wales,siangwenfelin,91880838,Sian Gwenllian AC/AM,x91880838
Janet Finch-Saunders,Finch-Saunders,Conservative,Aberconwy,North Wales,JFinchSaunders,88921783,Janet Finch-Saunders,x88921783
Lee Waters,Waters,Labour,Llanelli,Mid & West Wales,Amanwy,86805511,Lee Waters AM,x86805511
Alun Davies,Davies,Labour,Blaenau Gwent,South Wales East,AlunDaviesAM,83604475,Alun Davies <f0><U+009F><U+008F><U+00B4><f3><U+00A0><U+0081><U+00A7><f3><U+00A0><U+0081><U+00A2><f3><U+00A0><U+0081><U+00B7><f3><U+00A0><U+0081><U+00AC><f3><U+00A0><U+0081><U+00B3><f3><U+00A0><U+0081><U+00BF>,x83604475
Jeremy Miles,Miles,Labour,Neath,South Wales West,Jeremy_Miles,79801266,Jeremy Miles AC/AM,x79801266
Jenny Rathbone,Rathbone,Labour,Cardiff Central,South Wales Central,JennyRathbone,70472374,Jenny Rathbone AM,x70472374
Mark Reckless,Reckless,Independent,NA,South Wales East,MarkReckless,66774405,Mark Reckless AM,x66774405
Dawn Bowden,Bowden,Labour,Merthyr Tydfil & Rhymney,South Wales East,Dawn_Bowden,50294775,Dawn Bowden AM,x50294775
Llyr Gruffydd,Gruffydd,Plaid Cymru,NA,North Wales,LlyrGruffydd,43343554,Llyr Gruffydd AC/AM,x43343554
Suzy Davies,Davies,Conservative,NA,South Wales West,suzydaviesam,41380650,suzy davies,x41380650
Darren Millar,Millar,Conservative,Clwyd West,North Wales,DarrenMillarAM,27855414,Darren Millar AM,x27855414
Steffan Lewis,Lewis,Plaid Cymru,NA,South Wales East,steffanlewis,21188144,Steffan Lewis <f0><U+009F><U+008F><U+00B4><f3><U+00A0><U+0081><U+00A7><f3><U+00A0><U+0081><U+00A2><f3><U+00A0><U+0081><U+00B7><f3><U+00A0><U+0081><U+00AC><f3><U+00A0><U+0081><U+00B3><f3><U+00A0><U+0081><U+00BF>,x21188144
Adam Price,Price,Plaid Cymru,Carmarthen East & Dinefwr,Mid & West Wales,Adamprice,19188399,Adam Price,x19188399
Hannah Blythyn,Blythyn,Labour,Delyn,North Wales,hannahblythyn,18609412,Hannah Blythyn AM,x18609412
Kirsty Williams,Williams,Liberal Democrats,Brecon & Radnorshire,Mid & West Wales,Kirsty_Williams,16980982,Kirsty Williams,x16980982
Leanne Wood,Wood,Plaid Cymru,Rhondda,South Wales Central,LeanneWood,14450739,LeanneWood <f0><U+009F><U+008F><U+00B4><f3><U+00A0><U+0081><U+00A7><f3><U+00A0><U+0081><U+00A2><f3><U+00A0><U+0081><U+00B7><f3><U+00A0><U+0081><U+00AC><f3><U+00A0><U+0081><U+00B3><f3><U+00A0><U+0081><U+00BF>,x14450739
Bethan Sayed,Sayed,Plaid Cymru,NA,South Wales West,bethanjenkins,14193779,Bethan Sayed AM/AC <f0><U+009F><U+008F><U+00B4><f3><U+00A0><U+0081><U+00A7><f3><U+00A0><U+0081><U+00A2><f3><U+00A0><U+0081><U+00B7><f3><U+00A0><U+0081><U+00AC><f3><U+00A0><U+0081><U+00B3><f3><U+00A0><U+0081><U+00BF>,x14193779
